Size,MatrixInterval,MatrixCond,Noise,Iter,r1,rel_r2,r2,Ue,SError,Ve,Time_ms,Trials
5x5,[0;100],4.34238,1e-18,50,1.01268e-13,1.82393e-16,2.46807e-14,1.39104e-15,1.43469e-14,1.47116e-15,0.129,1
5x5,[0;100],4.34238,1e-33,1,1.70301e-13,3.2291e-16,4.36949e-14,7.96971e-15,2.51664e-14,7.94671e-15,0.0036,1
5x5,[0;100],4.34238,1e-33,5,1.05315e-13,1.98705e-16,2.6888e-14,5.38699e-15,1.51101e-14,5.33742e-15,0.014,1
5x5,[0;100],4.34238,1e-33,10,8.15693e-14,1.60909e-16,2.17736e-14,9.73974e-16,1.11836e-14,9.51619e-16,0.0267,1
5x5,[0;100],4.34238,1e-33,50,8.21873e-14,1.51063e-16,2.04412e-14,3.44888e-16,9.73406e-15,3.45802e-16,0.1288,1
6x4,[0;10],4.34238,0.001,1,0.000212664,4.30065e-06,5.49454e-05,8.91652e-05,2.14541e-05,7.82048e-06,0.0205,1
6x4,[0;10],4.34238,0.001,5,1.3274e-14,2.56266e-16,3.27406e-15,8.86806e-05,2.00128e-15,2.3711e-15,0.0164,1
6x4,[0;10],4.34238,0.001,10,8.12555e-15,1.80804e-16,2.30996e-15,8.86806e-05,1.64144e-15,5.14557e-15,0.0298,1
6x4,[0;10],4.34238,0.001,50,9.55253e-15,1.94811e-16,2.48891e-15,8.86806e-05,7.50907e-16,5.63337e-15,0.1414,1
6x4,[0;10],4.34238,1e-15,1,7.28145e-15,1.46599e-16,1.87296e-15,1.86281e-15,1.15742e-15,1.5127e-15,0.0042,1
6x4,[0;10],4.34238,1e-15,5,8.40251e-15,1.70471e-16,2.17795e-15,3.09435e-15,8.13922e-16,2.88341e-15,0.0155,1
6x4,[0;10],4.34238,1e-15,10,8.06291e-15,1.69364e-16,2.1638e-15,1.53699e-15,1.17435e-15,9.39433e-16,0.0295,1
6x4,[0;10],4.34238,1e-15,50,6.54961e-15,1.38034e-16,1.76353e-15,1.18584e-15,8.61288e-16,2.17631e-16,0.1415,1
6x4,[0;10],4.34238,1e-18,1,8.30773e-15,1.54338e-16,1.97183e-15,2.32004e-15,5.39761e-16,2.3625e-15,0.0042,1
6x4,[0;10],4.34238,1e-18,5,8.46133e-15,1.58809e-16,2.02895e-15,2.43113e-15,1.3539e-15,2.43303e-15,0.0155,1
6x4,[0;10],4.34238,1e-18,10,9.75861e-15,1.97351e-16,2.52137e-15,3.28585e-15,1.27129e-15,3.1576e-15,0.0296,1
6x4,[0;10],4.34238,1e-18,50,9.4836e-15,1.71771e-16,2.19455e-15,2.79829e-15,1.71685e-15,2.77164e-15,0.1415,1
6x4,[0;10],4.34238,1e-33,1,1.00005e-14,1.74945e-16,2.23511e-15,2.33712e-15,5.39761e-16,2.36964e-15,0.0046,1
6x4,[0;10],4.34238,1e-33,5,6.99717e-15,1.36547e-16,1.74454e-15,9.67906e-16,5.01857e-16,9.29581e-16,0.0177,1
6x4,[0;10],4.34238,1e-33,10,1.00674e-14,1.87087e-16,2.39023e-15,7.88797e-16,1.44427e-15,7.27052e-16,0.0296,1
6x4,[0;10],4.34238,1e-33,50,1.4807e-14,3.17471e-16,4.05603e-15,6.17409e-15,1.96e-15,6.22387e-15,0.1419,1
6x4,[0;100],4.34238,0.001,1,0.00148538,3.13069e-06,0.000399979,7.90639e-05,0.000149422,5.1725e-06,0.0043,1
6x4,[0;100],4.34238,0.001,5,1.31463e-13,2.52742e-16,3.22905e-14,7.85437e-05,1.54232e-14,7.18071e-15,0.0176,1
6x4,[0;100],4.34238,0.001,10,1.05063e-13,2.05999e-16,2.63186e-14,7.85437e-05,9.92188e-15,8.06756e-15,0.0295,1
6x4,[0;100],4.34238,0.001,50,1.34497e-13,2.85956e-16,3.65339e-14,7.85437e-05,1.86738e-14,4.15783e-15,0.1415,1
6x4,[0;100],4.34238,1e-15,1,1.12487e-13,2.07494e-16,2.65095e-14,5.35945e-15,1.16328e-14,5.21211e-15,0.0042,1
6x4,[0;100],4.34238,1e-15,5,1.21274e-13,2.1719e-16,2.77483e-14,3.45892e-15,1.85466e-14,3.34836e-15,0.0155,1
6x4,[0;100],4.34238,1e-15,10,7.94915e-14,1.47297e-16,1.88187e-14,1.0541e-15,1.01576e-14,3.80705e-16,0.0296,1
6x4,[0;100],4.34238,1e-15,50,1.00168e-13,1.79035e-16,2.28736e-14,4.45024e-15,1.60467e-14,4.3672e-15,0.1415,1
6x4,[0;100],4.34238,1e-18,1,5.37452e-14,1.11988e-16,1.43077e-14,7.17997e-16,1.1148e-14,6.50742e-16,0.0042,1
6x4,[0;100],4.34238,1e-18,5,1.30443e-13,2.55624e-16,3.26587e-14,1.27504e-15,1.57271e-14,1.26285e-15,0.0156,1
6x4,[0;100],4.34238,1e-18,10,9.33945e-14,1.93816e-16,2.47621e-14,2.66199e-15,1.77728e-14,2.63047e-15,0.0316,1
6x4,[0;100],4.34238,1e-18,50,4.94882e-14,9.75681e-17,1.24654e-14,3.90944e-15,8.09983e-15,3.93298e-15,0.1415,1
6x4,[0;100],4.34238,1e-33,1,5.374e-14,1.1198e-16,1.43066e-14,7.18269e-16,1.1148e-14,6.50742e-16,0.0041,1
6x4,[0;100],4.34238,1e-33,5,1.30324e-13,2.55556e-16,3.265e-14,1.27475e-15,1.57271e-14,1.26285e-15,0.0156,1
6x4,[0;100],4.34238,1e-33,10,4.88116e-14,1.02106e-16,1.30451e-14,2.48824e-15,1.09066e-14,2.47477e-15,0.0314,1
6x4,[0;100],4.34238,1e-33,50,6.78147e-14,1.28708e-16,1.64438e-14,7.59872e-16,9.92188e-15,6.78174e-16,0.1416,1
52x50,[0;10],1274.08,0.001,1,0.0797354,5.12081e-05,0.00196017,0.00552646,0.000655599,0.00353527,0.6149,1
52x50,[0;10],1274.08,0.001,5,7.02359e-13,4.50946e-16,1.72615e-14,0.00059901,7.61507e-15,4.02142e-14,2.1716,1
52x50,[0;10],1274.08,0.001,10,8.09928e-13,5.20798e-16,1.99354e-14,0.00059901,1.04345e-14,2.55378e-14,4.3077,1
52x50,[0;10],1274.08,0.001,50,7.39691e-13,4.73453e-16,1.8123e-14,0.00059901,9.85371e-15,4.71429e-14,21.4108,1
