Size,Interval,CondNum,NoiseLevel,Iter,Rec_l1,Rec_l2,Time_ms,U_err,S_err,V_err
3x3,[0;1000],8.90638,1e-20,5,2.42861e-16,9.78851e-17,0.5446,1.67087e-19,3.10317e-17,1.76183e-19
3x3,[0;1000],8.90638,1e-20,10,1.21431e-16,5.38603e-17,1.8947,1.48615e-19,1.11886e-16,1.87085e-19
3x3,[0;1000],8.90638,1e-20,20,1.14492e-16,5.60506e-17,2.3962,1.63194e-19,6.54614e-17,1.85359e-19
3x3,[0;1000],8.90638,1e-20,30,3.33067e-16,1.3129e-16,3.0088,1.67087e-19,1.694e-16,1.68319e-19
3x3,[0;1000],8.90638,1e-20,50,1.83881e-16,7.15245e-17,5.008,1.36201e-19,6.3596e-17,2.03852e-19
3x3,[0;1000],8.90638,1e-20,100,1.66533e-16,6.58281e-17,10.0573,1.4846e-19,6.3596e-17,1.81952e-19

3x3,[0;1000],8.90638,1e-15,1,5.0307e-16,1.95924e-16,0.1107,1.53329e-19,6.54614e-17,2.3437e-19
3x3,[0;1000],8.90638,1e-15,5,1.9082e-16,7.35163e-17,0.5097,1.46593e-19,5.72196e-17,1.43786e-19
3x3,[0;1000],8.90638,1e-15,10,2.22045e-16,8.15135e-17,1.6418,1.35525e-19,1.15278e-16,1.8211e-19
3x3,[0;1000],8.90638,1e-15,20,1.52656e-16,6.43487e-17,3.5534,1.38209e-19,3.10317e-17,1.55707e-19
3x3,[0;1000],8.90638,1e-15,30,1.14492e-16,5.06349e-17,7.655,1.37041e-19,5.72196e-17,1.77514e-19
3x3,[0;1000],8.90638,1e-15,50,1.66533e-16,7.40871e-17,7.511,1.46593e-19,6.3596e-17,1.81952e-19
3x3,[0;1000],8.90638,1e-15,100,1.21431e-16,5.38603e-17,10.8045,1.48615e-19,1.11886e-16,1.88795e-19

3x3,[0;1000],8.90638,1e-10,1,2.25514e-16,1.01567e-16,0.1308,1.84334e-19,5.92859e-17,2.15806e-19
3x3,[0;1000],8.90638,1e-10,5,2.32453e-16,9.39317e-17,0.52,1.71427e-19,6.20634e-17,1.89735e-19
3x3,[0;1000],8.90638,1e-10,10,1.45717e-16,6.47217e-17,1.0228,1.41493e-19,1.15278e-16,1.66122e-19
3x3,[0;1000],8.90638,1e-10,20,3.33067e-16,1.3129e-16,2.0213,1.65013e-19,1.694e-16,1.6767e-19
3x3,[0;1000],8.90638,1e-10,30,2.67147e-16,9.79466e-17,3.1046,1.38209e-19,6.3596e-17,1.6543e-19
3x3,[0;1000],8.90638,1e-10,50,1.31839e-16,5.67973e-17,5.0752,1.41493e-19,5.72196e-17,1.65013e-19
3x3,[0;1000],8.90638,1e-10,100,1.21431e-16,5.60506e-17,10.0574,1.45965e-19,5.92859e-17,1.9214e-19

3x3,[0;1000],8.90638,1e-05,1,6.27901e-07,3.34929e-07,0.1094,2.08175e-10,6.44555e-08,6.01012e-10
3x3,[0;1000],8.90638,1e-05,5,1.35308e-16,6.01927e-17,0.5088,1.4846e-19,5.92859e-17,1.63896e-19
3x3,[0;1000],8.90638,1e-05,10,2.08167e-16,7.66426e-17,1.0043,1.41005e-19,1.15278e-16,1.75694e-19
3x3,[0;1000],8.90638,1e-05,20,1.14492e-16,5.11081e-17,2.041,1.60356e-19,6.3596e-17,1.68489e-19
3x3,[0;1000],8.90638,1e-05,30,1.52656e-16,6.12827e-17,4.3923,1.44065e-19,5.72196e-17,1.97328e-19
3x3,[0;1000],8.90638,1e-05,50,2.67147e-16,1.12155e-16,7.0767,1.67087e-19,1.16317e-16,1.81826e-19
3x3,[0;1000],8.90638,1e-05,100,3.33067e-16,1.3129e-16,13.4618,1.67087e-19,1.694e-16,1.66571e-19

5x4,[0;1],2.00688,1e-20,1,1.12147e-18,3.02152e-19,0.4079,1.02673e-18,1.35525e-19,1.11677e-18
5x4,[0;1],2.00688,1e-20,5,4.77727e-19,1.62807e-19,2.0428,1.31414e-18,1.71427e-19,1.36404e-18
5x4,[0;1],2.00688,1e-20,10,3.06626e-19,9.39099e-20,2.9271,9.89752e-19,9.38947e-20,1.02206e-18
5x4,[0;1],2.00688,1e-20,20,6.31887e-19,1.77683e-19,5.1538,1.20186e-18,1.71427e-19,1.22991e-18
5x4,[0;1],2.00688,1e-20,30,5.04832e-19,1.61533e-19,6.6194,7.65395e-19,1.21217e-19,7.64685e-19
5x4,[0;1],2.00688,1e-20,50,5.89535e-19,1.72629e-19,10.0073,1.15492e-18,1.32787e-19,1.20657e-18
5x4,[0;1],2.00688,1e-20,100,2.86297e-19,9.65618e-20,25.3568,1.16696e-18,1.32787e-19,1.18381e-18

5x4,[0;1],2.00688,1e-15,1,6.81014e-19,1.98285e-19,0.4171,8.12502e-19,1.87789e-19,7.85586e-19
5x4,[0;1],2.00688,1e-15,5,3.28649e-19,1.17026e-19,1.5156,1.28262e-18,1.0842e-19,1.30929e-18
5x4,[0;1],2.00688,1e-15,10,2.33781e-19,9.34658e-20,2.7453,8.29131e-19,1.64874e-19,7.90503e-19
5x4,[0;1],2.00688,1e-15,20,4.94667e-19,1.66674e-19,5.4088,1.54284e-18,9.38947e-20,1.58165e-18
5x4,[0;1],2.00688,1e-15,30,4.77727e-19,1.29682e-19,7.089,1.02239e-18,9.38947e-20,1.06338e-18
5x4,[0;1],2.00688,1e-15,50,8.77526e-19,2.40748e-19,9.8494,1.54134e-18,2.43945e-19,1.5187e-18
5x4,[0;1],2.00688,1e-15,100,5.99699e-19,1.62666e-19,19.7783,8.86636e-19,1.32787e-19,8.81149e-19

5x4,[0;1],2.00688,1e-10,1,5.82759e-19,1.66536e-19,0.215,1.11268e-18,2.02836e-19,1.10289e-18
5x4,[0;1],2.00688,1e-10,5,6.55604e-19,2.11975e-19,1.0093,8.74972e-19,1.32787e-19,9.09996e-19
5x4,[0;1],2.00688,1e-10,10,6.13252e-19,1.74513e-19,2.3975,8.24626e-19,2.02836e-19,8.3335e-19
5x4,[0;1],2.00688,1e-10,20,3.15096e-19,1.00337e-19,3.9536,1.1599e-18,9.38947e-20,1.17165e-18
5x4,[0;1],2.00688,1e-10,30,5.18384e-19,1.57794e-19,5.8236,7.37353e-19,1.21217e-19,7.43757e-19
5x4,[0;1],2.00688,1e-10,50,6.42051e-19,1.82276e-19,14.1236,6.80753e-19,1.21217e-19,6.84086e-19
5x4,[0;1],2.00688,1e-10,100,5.28549e-19,1.74875e-19,20.0816,9.72305e-19,1.21217e-19,9.71821e-19

5x4,[0;1],2.00688,1e-05,1,3.22236e-09,9.07873e-10,0.3855,2.3278e-09,1.86732e-10,2.10471e-09
5x4,[0;1],2.00688,1e-05,5,3.47284e-19,1.16003e-19,1.0418,1.20333e-18,1.32787e-19,1.20347e-18
5x4,[0;1],2.00688,1e-05,10,6.7085e-19,1.97677e-19,2.0027,1.44527e-18,1.71427e-19,1.45176e-18
5x4,[0;1],2.00688,1e-05,20,5.77676e-19,1.77619e-19,3.935,9.47151e-19,1.24211e-19,9.85499e-19
5x4,[0;1],2.00688,1e-05,30,5.64124e-19,1.72237e-19,6.206,1.09073e-18,1.43426e-19,1.1387e-18
5x4,[0;1],2.00688,1e-05,50,5.1669e-19,1.60078e-19,9.7805,1.22851e-18,9.77287e-20,1.27433e-18
5x4,[0;1],2.00688,1e-05,100,5.67512e-19,1.58275e-19,19.9122,1.19655e-18,1.21217e-19,1.25418e-18

5x4,[0;10],4.66985,1e-20,1,3.98444e-18,1.22634e-18,0.2771,2.62833e-19,8.18555e-19,2.00559e-19
5x4,[0;10],4.66985,1e-20,5,3.03577e-18,8.73271e-19,1.0521,2.86683e-19,5.31148e-19,2.07092e-19
5x4,[0;10],4.66985,1e-20,10,2.43945e-18,7.97644e-19,1.9843,2.1362e-19,7.81829e-19,1.49999e-19
5x4,[0;10],4.66985,1e-20,20,3.90313e-18,1.21157e-18,3.9387,3.02153e-19,6.50521e-19,1.94161e-19
5x4,[0;10],4.66985,1e-20,30,3.10353e-18,9.53023e-19,9.0416,3.04123e-19,6.22827e-19,2.94514e-19
5x4,[0;10],4.66985,1e-20,50,2.27682e-18,7.39327e-19,9.9778,2.84971e-19,8.11343e-19,2.64968e-19
5x4,[0;10],4.66985,1e-20,100,2.71051e-18,8.35434e-19,23.4864,2.30619e-19,6.50521e-19,1.67361e-19

5x4,[0;10],4.66985,1e-15,1,1.65341e-18,5.73065e-19,0.3708,3.73507e-19,8.74112e-19,3.12958e-19
5x4,[0;10],4.66985,1e-15,5,3.18484e-18,8.65772e-19,1.6084,3.57247e-19,9.00606e-19,3.10897e-19
5x4,[0;10],4.66985,1e-15,10,2.76472e-18,8.30141e-19,2.771,2.40402e-19,6.22827e-19,1.99641e-19
5x4,[0;10],4.66985,1e-15,20,1.38236e-18,4.97583e-19,5.3732,2.40201e-19,4.8487e-19,1.88034e-19
5x4,[0;10],4.66985,1e-15,30,2.80537e-18,8.44291e-19,5.9906,3.34977e-19,5.31148e-19,2.73412e-19
5x4,[0;10],4.66985,1e-15,50,2.35814e-18,7.92562e-19,9.6881,3.29239e-19,7.89311e-19,2.80213e-19
5x4,[0;10],4.66985,1e-15,100,3.84892e-18,1.11823e-18,25.2836,2.73182e-19,5.31148e-19,2.06981e-19

5x4,[0;10],4.66985,1e-10,1,3.27971e-18,9.82909e-19,0.23,2.71569e-19,8.94056e-19,1.61639e-19
5x4,[0;10],4.66985,1e-10,5,2.18196e-18,6.67385e-19,1.0061,2.9523e-19,5.83861e-19,2.37556e-19
5x4,[0;10],4.66985,1e-10,10,2.22261e-18,7.47235e-19,1.9433,2.75077e-19,6.94228e-19,2.11263e-19
5x4,[0;10],4.66985,1e-10,20,3.63208e-18,1.03142e-18,3.8997,3.79336e-19,7.58942e-19,4.22635e-19
5x4,[0;10],4.66985,1e-10,30,4.09286e-18,1.29623e-18,5.9321,4.29712e-19,7.58942e-19,3.58886e-19
5x4,[0;10],4.66985,1e-10,50,3.44234e-18,1.06747e-18,9.7822,3.53492e-19,9.75782e-19,2.48422e-19
